playerID,name,gamesPlayed,scores,assists,goals,plusMinus,completions,completionPercentage,hockeyAssists,throwaways,stalls,drops,blocks,callahans,pulls,yardsTotal,yardsThrown,yardsReceived,hucksCompleted,huckPercentage,minutesPlayed,possessions,oEfficiency,pointsPlayed,oPointsPlayed,dPointsPlayed
bkittredg,Beau Kittredge,31,188,71,117,188,741,92.39,85,54,1,6,60,1,8,0,0,0,0,,826,1007,49.95,867,503,364
bfein,Brandon Fein,77,132,39,93,177,530,93.64,37,30,0,8,83,2,669,2074,1532,542,4,50.00,1473,1244,39.55,1534,415,1119
klaurence,Keenan Laurence,43,188,90,98,176,537,92.11,50,38,0,8,34,0,0,11281,3820,7461,34,66.67,900,1000,50.00,942,719,223
mcrawford,Matthew Crawford,76,193,107,86,163,997,92.74,81,69,1,7,46,0,99,3058,1911,1147,11,64.71,1344,1310,46.41,1448,601,847
jstearns,Jackson Stearns,51,244,97,147,156,781,87.36,103,98,2,21,31,0,8,951,303,648,2,66.67,1215,1511,49.24,1304,1000,304
jnorden,Justin Norden,70,329,261,68,149,2957,92.70,203,192,2,10,22,0,8,9839,7441,2398,28,59.57,1645,1999,49.62,1700,1307,393
msanchez,Marcelo Sanchez,43,179,92,87,143,767,92.41,91,58,4,15,37,0,2,1262,623,639,5,71.43,1033,1303,51.04,1075,812,263
shiggins,Simon Higgins,25,154,57,97,140,350,90.67,53,29,0,7,22,0,22,0,0,0,0,,589,782,53.32,627,466,161
schang,Steven Chang,59,198,105,93,132,1933,95.55,120,71,1,10,15,0,3,2198,1572,626,5,71.43,1324,1748,51.03,1398,1209,189
efalat,Ethan Falat,50,136,68,68,127,620,91.31,49,51,1,12,54,0,4,0,0,0,0,,878,884,43.89,968,371,597
sham,Sean Ham,25,129,21,108,125,268,96.75,33,9,0,4,9,0,1,0,0,0,0,,485,641,52.89,530,389,141
searley,Shane Earley,35,129,32,97,109,266,90.17,30,24,0,5,9,0,0,2414,648,1766,3,75.00,667,814,51.84,684,626,58
kvanarsda,Kelly Van Arsdale,29,114,56,58,97,301,88.27,38,38,2,6,27,0,17,0,0,0,0,,533,626,46.01,611,313,298
amoore,Andrew Moore,39,87,27,60,95,264,91.03,26,23,3,8,39,0,0,2612,819,1793,3,75.00,689,660,39.55,721,254,467
ccao,Chuck Cao,40,157,129,28,93,1628,95.32,89,69,4,8,13,0,5,0,0,0,0,,946,1253,52.19,1022,824,198
clung,Chris Lung,28,115,85,30,81,712,91.28,43,57,0,1,24,0,19,10334,6707,3627,37,53.62,605,674,53.12,615,474,141
gcohen,Greg Cohen,20,70,25,45,78,130,90.91,13,13,0,2,23,0,114,0,0,0,0,,420,397,43.32,391,106,285
szaccaro,Sonny Zaccaro,51,119,86,33,78,1335,94.55,97,65,3,5,29,0,8,0,0,0,0,,1029,1219,49.55,1113,652,461
ajoye,Ashlin Joye,24,126,101,25,71,989,92.60,68,71,5,7,23,0,18,0,0,0,0,,657,845,51.95,657,480,177
ebrydon,Evan Brydon,25,79,21,58,66,281,90.65,39,26,0,5,18,0,34,0,0,0,0,,468,575,49.04,514,336,178
mwilliams,Max Williams,32,80,17,63,66,215,93.48,32,12,0,12,10,0,0,5104,875,4229,2,100.00,649,650,53.38,649,444,205
gmay,Gavin May,20,51,12,39,58,162,94.74,19,6,0,2,15,0,0,3118,561,2557,1,100.00,417,317,49.21,401,169,232
wfrankenb,Walker Frankenberg,12,65,23,42,57,291,95.72,29,9,0,1,2,0,0,4758,1825,2933,3,60.00,269,337,53.71,270,261,9
emagsig,Evan  Magsig,30,86,61,25,55,795,94.19,51,41,1,4,14,0,56,7499,5128,2371,9,47.37,637,572,49.65,584,339,245
melbogen,Mark Elbogen,11,63,17,46,54,118,86.76,16,17,0,1,9,0,1,0,0,0,0,,223,319,53.61,238,184,54
ksmith1,Kevin Smith,46,140,119,21,53,907,87.63,61,111,0,4,28,0,73,0,0,0,0,,955,1171,47.48,1024,586,438
tbacon,Tyler Bacon,13,57,23,34,50,168,93.85,13,11,1,2,6,0,2,0,0,0,0,,247,324,50.93,257,154,103
