playerID,name,gamesPlayed,scores,assists,goals,plusMinus,completions,completionPercentage,hockeyAssists,throwaways,stalls,drops,blocks,callahans,pulls,yardsTotal,yardsThrown,yardsReceived,hucksCompleted,huckPercentage,minutesPlayed,possessions,oEfficiency,pointsPlayed,oPointsPlayed,dPointsPlayed
wfrankenb,Walker Frankenberg,12,65,23,42,57,291,95.72,29,9,0,1,2,0,0,4758,1825,2933,3,60.00,269,337,53.71,270,261,9
klaurence,Keenan Laurence,12,59,25,34,55,148,93.08,13,10,0,2,8,0,0,4368,1347,3021,8,61.54,263,341,53.67,281,266,15
gmay,Gavin May,9,24,7,17,30,64,91.43,5,3,0,1,10,0,0,1470,384,1086,1,100.00,186,151,50.33,182,77,105
clung,Chris Lung,10,43,26,17,28,315,92.65,19,21,0,1,7,0,1,4718,3146,1572,15,55.56,225,288,53.47,234,229,5
mwilliams,Max Williams,12,32,10,22,27,86,95.56,14,3,0,5,3,0,0,2064,339,1725,1,100.00,246,315,53.65,262,247,15
emagsig,Evan  Magsig,12,42,29,13,23,415,94.10,28,21,1,3,5,0,12,4115,2966,1149,7,53.85,269,331,52.87,272,247,25
mhecht,Mac Hecht,10,52,44,8,23,502,92.45,40,32,1,1,4,0,0,6115,4626,1489,21,61.76,228,298,56.04,243,241,2
wberreman,Wyatt Berreman,12,15,7,8,23,50,100.00,5,0,0,1,9,0,1,770,218,552,1,100.00,229,119,50.42,214,2,212
radkins,Raekwon Adkins,9,26,8,18,18,63,85.14,3,11,0,3,6,0,0,1270,155,1115,1,20.00,182,203,50.74,172,132,40
dclyburn,Dexter Clyburn,8,36,19,17,16,192,91.00,17,16,0,10,6,0,0,3480,1454,2026,10,76.92,190,225,52.00,195,167,28
rvickersb,Robin Vickers Batzdorf,12,11,5,6,14,110,93.22,10,6,0,1,10,0,55,671,447,224,3,60.00,220,120,54.17,196,6,190
dnice,Dylan Nice,9,13,4,9,13,33,91.67,6,3,0,2,5,0,0,693,155,538,0,,132,71,50.70,130,7,123
bfein,Brandon Fein,9,8,3,5,12,64,95.52,7,2,0,0,6,1,97,520,430,90,1,100.00,166,105,47.62,153,28,125
cbauman,Conor Bauman,11,15,9,6,11,89,89.90,4,7,0,2,5,0,73,612,548,64,2,40.00,175,95,48.42,159,0,159
mburke1,Matthew Burke,10,9,3,6,10,49,98.00,4,1,0,2,4,1,0,515,206,309,0,,189,104,50.00,165,2,163
rmendoza,Ray Mendoza,10,6,2,4,9,32,86.49,3,5,0,1,9,0,0,461,184,277,0,0.00,169,78,53.85,163,0,163
mbarcello,Matt Barcellos,3,8,7,1,8,45,95.74,2,2,0,0,2,0,0,536,234,302,1,33.33,66,41,53.66,59,14,45
kkhangaon,Kushal Khangaonkar,4,9,6,3,7,32,86.49,3,4,0,0,2,0,0,367,41,326,0,0.00,84,57,43.86,64,11,53
dburns,Dylan Burns,3,7,3,4,6,21,87.50,1,1,0,1,1,0,0,413,176,237,0,0.00,52,37,48.65,42,6,36
mthahir,Munis Thahir,5,4,2,2,5,27,96.43,0,1,0,0,2,0,1,366,112,254,0,,79,50,40.00,66,14,52
pxu,Patrick Xu,6,4,1,3,5,16,94.12,1,1,0,0,2,0,0,414,129,285,0,,84,38,52.63,82,0,82
arosentha,Aaron Rosenthal,2,5,2,3,4,12,85.71,1,1,0,0,0,0,0,237,94,143,0,,38,26,50.00,26,2,24
rcastro,Rafael Castro,7,8,2,6,4,16,84.21,0,3,0,4,3,1,0,315,88,227,0,,125,86,44.19,110,23,87
msayasene,Mitchell Sayasene,3,4,2,2,3,13,86.67,0,1,0,0,0,0,1,224,172,52,1,100.00,41,27,51.85,40,11,29
klew,Kyle  Lew,3,4,4,0,2,68,94.44,3,3,0,1,2,0,0,534,384,150,2,100.00,65,37,51.35,54,14,40
ahom,Aaron Hom,3,2,1,1,1,14,93.33,2,1,0,0,0,0,0,320,201,119,3,100.00,50,36,47.22,41,0,41
cmah,Camden Mah,2,1,1,0,1,2,100.00,0,0,0,0,0,0,0,19,3,16,0,,39,25,56.00,31,0,31
jsmith3,Jacob Smith,2,1,0,1,1,21,91.30,4,2,0,0,2,0,0,355,143,212,0,,36,28,50.00,33,13,20
kjohnson2,Kyle Johnson,5,5,1,4,1,35,87.50,1,4,0,1,1,0,0,587,328,259,2,66.67,75,53,41.51,68,19,49
mcrawford,Matthew Crawford,3,3,2,1,1,36,92.31,2,3,0,0,1,0,1,159,193,-34,1,100.00,44,32,50.00,42,11,31
msommer,Morgan Sommer,10,5,1,4,1,38,86.36,5,6,0,1,3,0,0,767,331,436,1,33.33,160,107,44.86,138,34,104
jthorne,Jake Thorne,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0
jdecampos,Jackson de Campos,7,6,5,1,-1,55,88.71,3,7,1,0,0,0,0,458,251,207,0,0.00,122,69,47.83,106,11,95
mkissmann,Matthew Kissmann,3,0,0,0,-2,20,90.91,2,2,0,0,0,0,16,119,82,37,0,,55,48,54.17,52,30,22
jnorden,Justin Norden,1,1,1,0,-3,16,80.00,0,4,0,0,0,0,1,82,61,21,0,0.00,23,16,31.25,17,2,15
