playerID,name,gamesPlayed,scores,assists,goals,plusMinus,completions,completionPercentage,hockeyAssists,throwaways,stalls,drops,blocks,callahans,pulls,yardsTotal,yardsThrown,yardsReceived,hucksCompleted,huckPercentage,minutesPlayed,possessions,oEfficiency,pointsPlayed,oPointsPlayed,dPointsPlayed
wfrankenb,Walker Frankenberg,12,5.42,1.92,3.50,4.75,24.25,95.72,2.42,0.75,0.00,0.08,0.17,0.00,0.00,396.50,152.08,244.42,0.25,60.00,22.46,28.08,53.71,22.50,21.75,0.75
klaurence,Keenan Laurence,12,4.92,2.08,2.83,4.58,12.33,93.08,1.08,0.83,0.00,0.17,0.67,0.00,0.00,364.00,112.25,251.75,0.67,61.54,21.98,28.42,53.67,23.42,22.17,1.25
gmay,Gavin May,9,2.67,0.78,1.89,3.33,7.11,91.43,0.56,0.33,0.00,0.11,1.11,0.00,0.00,163.33,42.67,120.67,0.11,100.00,20.76,16.78,50.33,20.22,8.56,11.67
clung,Chris Lung,10,4.30,2.60,1.70,2.80,31.50,92.65,1.90,2.10,0.00,0.10,0.70,0.00,0.10,471.80,314.60,157.20,1.50,55.56,22.60,28.80,53.47,23.40,22.90,0.50
mbarcello,Matt Barcellos,3,2.67,2.33,0.33,2.67,15.00,95.74,0.67,0.67,0.00,0.00,0.67,0.00,0.00,178.67,78.00,100.67,0.33,33.33,22.32,13.67,53.66,19.67,4.67,15.00
mhecht,Mac Hecht,10,5.20,4.40,0.80,2.30,50.20,92.45,4.00,3.20,0.10,0.10,0.40,0.00,0.00,611.50,462.60,148.90,2.10,61.76,22.88,29.80,56.04,24.30,24.10,0.20
mwilliams,Max Williams,12,2.67,0.83,1.83,2.25,7.17,95.56,1.17,0.25,0.00,0.42,0.25,0.00,0.00,172.00,28.25,143.75,0.08,100.00,20.55,26.25,53.65,21.83,20.58,1.25
arosentha,Aaron Rosenthal,2,2.50,1.00,1.50,2.00,6.00,85.71,0.50,0.50,0.00,0.00,0.00,0.00,0.00,118.50,47.00,71.50,0.00,,19.12,13.00,50.00,13.00,1.00,12.00
dburns,Dylan Burns,3,2.33,1.00,1.33,2.00,7.00,87.50,0.33,0.33,0.00,0.33,0.33,0.00,0.00,137.67,58.67,79.00,0.00,0.00,17.41,12.33,48.65,14.00,2.00,12.00
dclyburn,Dexter Clyburn,8,4.50,2.38,2.13,2.00,24.00,91.00,2.13,2.00,0.00,1.25,0.75,0.00,0.00,435.00,181.75,253.25,1.25,76.92,23.77,28.13,52.00,24.38,20.88,3.50
radkins,Raekwon Adkins,9,2.89,0.89,2.00,2.00,7.00,85.14,0.33,1.22,0.00,0.33,0.67,0.00,0.00,141.11,17.22,123.89,0.11,20.00,20.28,22.56,50.74,19.11,14.67,4.44
emagsig,Evan  Magsig,12,3.50,2.42,1.08,1.92,34.58,94.10,2.33,1.75,0.08,0.25,0.42,0.00,1.00,342.92,247.17,95.75,0.58,53.85,22.42,27.58,52.87,22.67,20.58,2.08
wberreman,Wyatt Berreman,12,1.25,0.58,0.67,1.92,4.17,100.00,0.42,0.00,0.00,0.08,0.75,0.00,0.08,64.17,18.17,46.00,0.08,100.00,19.13,9.92,50.42,17.83,0.17,17.67
kkhangaon,Kushal Khangaonkar,4,2.25,1.50,0.75,1.75,8.00,86.49,0.75,1.00,0.00,0.00,0.50,0.00,0.00,91.75,10.25,81.50,0.00,0.00,21.03,14.25,43.86,16.00,2.75,13.25
dnice,Dylan Nice,9,1.44,0.44,1.00,1.44,3.67,91.67,0.67,0.33,0.00,0.22,0.56,0.00,0.00,77.00,17.22,59.78,0.00,,14.70,7.89,50.70,14.44,0.78,13.67
bfein,Brandon Fein,9,0.89,0.33,0.56,1.33,7.11,95.52,0.78,0.22,0.00,0.00,0.67,0.11,10.78,57.78,47.78,10.00,0.11,100.00,18.45,11.67,47.62,17.00,3.11,13.89
rvickersb,Robin Vickers Batzdorf,12,0.92,0.42,0.50,1.17,9.17,93.22,0.83,0.50,0.00,0.08,0.83,0.00,4.58,55.92,37.25,18.67,0.25,60.00,18.35,10.00,54.17,16.33,0.50,15.83
cbauman,Conor Bauman,11,1.36,0.82,0.55,1.00,8.09,89.90,0.36,0.64,0.00,0.18,0.45,0.00,6.64,55.64,49.82,5.82,0.18,40.00,15.96,8.64,48.42,14.45,0.00,14.45
